Time	Channel A	Channel B
(ms)	(V)	(V)

134.76089004	0.07874016	0.00000000
134.76490604	0.07874016	0.00000000
134.76892204	0.07874016	0.00000000
134.77293804	0.07874016	0.00000000
134.77695404	0.07874016	0.00000000
134.78097004	0.07874016	0.00000000
134.78498604	0.07874016	0.00000000
134.78900204	0.07874016	0.00000000
134.79301804	0.07874016	0.00000000
134.79703404	0.07874016	0.00000000
134.80105004	0.07874016	0.00000000
134.80506604	0.07874016	0.00000000
134.80908204	0.07874016	-0.01574803
134.81309804	0.07874016	-0.01574803
134.81711404	0.07874016	0.00000000
134.82113004	0.07874016	0.00000000
134.82514604	0.07874016	-0.01574803
134.82916204	0.07874016	-0.01574803
134.83317804	0.07874016	-0.01574803
134.83719404	0.07874016	0.00000000
134.84121004	0.07874016	-0.01574803
134.84522604	0.07874016	0.00000000
134.84924204	0.07874016	0.00000000
134.85325804	0.07874016	0.00000000
134.85727404	0.07874016	0.00000000
134.86129004	0.07874016	-0.01574803
134.86530604	0.07874016	-0.01574803
134.86932204	0.07874016	-0.01574803
134.87333804	0.07874016	-0.01574803
134.87735404	0.07874016	-0.01574803
134.88137004	0.07874016	-0.01574803
134.88538604	0.15748030	0.00000000
134.88940204	0.07874016	-0.01574803
134.89341804	0.07874016	-0.01574803
134.89743404	0.07874016	-0.01574803
134.90145004	0.07874016	0.00000000
134.90546604	0.07874016	-0.01574803
134.90948204	0.07874016	0.00000000
134.91349804	0.07874016	0.00000000
134.91751404	0.07874016	0.00000000
134.92153004	0.07874016	0.00000000
134.92554604	0.07874016	-0.01574803
134.92956204	0.07874016	0.00000000
134.93357804	0.07874016	-0.01574803
134.93759404	0.07874016	-0.01574803
134.94161004	0.07874016	0.00000000
134.94562604	0.07874016	-0.01574803
134.94964204	0.07874016	0.00000000
134.95365804	0.07874016	0.00000000
134.95767404	0.07874016	0.00000000
134.96169004	0.07874016	0.00000000
134.96570604	0.07874016	0.00000000
134.96972203	0.07874016	0.00000000
134.97373803	0.07874016	0.00000000
134.97775403	0.15748030	0.00000000
134.98177003	0.07874016	0.00000000
134.98578603	0.07874016	0.00000000
134.98980203	0.07874016	0.00000000
134.99381803	0.07874016	0.00000000
134.99783403	0.07874016	0.00000000
135.00185003	0.07874016	0.00000000
135.00586603	0.07874016	0.00000000
135.00988203	0.07874016	0.00000000
135.01389803	0.07874016	-0.01574803
135.01791403	0.07874016	0.00000000
135.02193003	0.07874016	0.00000000
135.02594603	0.07874016	-0.01574803
135.02996203	0.07874016	0.00000000
135.03397803	0.07874016	-0.01574803
135.03799403	0.07874016	0.00000000
135.04201003	0.07874016	0.00000000
135.04602603	0.07874016	0.00000000
135.05004203	0.07874016	0.00000000
135.05405803	0.07874016	0.00000000
135.05807403	0.07874016	0.00000000
135.06209003	0.07874016	-0.01574803
135.06610603	0.07874016	0.00000000
135.07012203	0.07874016	-0.01574803
135.07413803	0.07874016	0.00000000
135.07815403	0.07874016	0.00000000
135.08217003	0.15748030	0.00000000
135.08618603	0.15748030	0.00000000
135.09020203	0.07874016	0.00000000
135.09421803	0.15748030	0.00000000
135.09823403	0.07874016	0.00000000
135.10225003	0.07874016	0.00000000
135.10626603	0.07874016	0.00000000
135.11028203	0.07874016	0.00000000
135.11429803	0.07874016	0.00000000
135.11831403	0.07874016	0.00000000
135.12233003	0.07874016	0.00000000
135.12634603	0.07874016	0.00000000
135.13036203	0.07874016	0.00000000
135.13437803	0.07874016	-0.01574803
